Item,Salvaged Metal,Copper Ingot,Iron Ingot,Steel Ingot,Aluminum Ingot,Duraluminium,Plastinium,Spice Melange,Cobalt Paste,Calibrated Servok,Silicon Block,Complex Machinery,Advanced Machinery,Power Generated,Power Cost,,
WInd Turbine OmniDirectional,,,,45,,,,,65,20,,,,150,,,
Fuel-Powered Plant,45,,,,,,,,,,,,,75,,,
WInd Turbine Directional,,,,,,120,,3,160,50,,,,350,,,
Spice Powered Generator,,,,,,,430,270,300,,180,100,40,1000,,,
Repair Station,,,40,,,,,,,,,,,,20,,
Recycler,,30,,,,,,,,,,,,,15,,
Windtrap,,,,90,,,,,,20,30,,,,75,,
Large Windtrap,,,,,,240,,5,,70,250,,,,135,,
Pentashield Surface Vertical,,,,2,,,,,20,6,,,,,3,per block,Create block calculator
Pentashield Surface Vertical,,,,2,,,,,20,6,,,,,3,,
Fabricator,75,,,,,,,,,,,,,,10,,
Survival Fabricator,,,,40,,,,,,,,30,,,35,,
Medium Ore Refinery,,,,125,,,,,60,,,50,,,45,,
Large Ore Refinery,,,,,,,,,,,,,,,350,,
Medium Chemical Refinery,,,,,,,150,35,,,90,50,,,350,,
Spice Refinery,,,,,,160,,,80,,130,70,,,200,,
Medium Spice Refinery,,,,,,,285,135,190,,225,100,,,350,,
Large Spice Refinery,,,,,,,950,1000,1110,,,350,55,,500,,